"DRXFDCD","DRXFCSD","DRXFCLD",
"11513382.0","NESQUIK, CHOC MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK","Nesquik, chocolate milk, made from dry mix with reduced fat milk (2%)",
"11513383.0","NESQUIK, CHOCOLATE MILK, MADE FROM DRY MIX WITH LOW FAT MILK","Nesquik, chocolate milk, made from dry mix with low fat milk (1%)",
"11513384.0","NESQUIK, CHOC MILK, MADE FROM DRY MIX WITH FAT FREE MILK","Nesquik, chocolate milk, made from dry mix with fat free milk (skim)",
"11513385.0","NESQUIK, CHOC MILK, MADE FROM DRY MIX WITH NON-DAIRY MILK","Nesquik, chocolate milk, made from dry mix with non-dairy milk",
"11513390.0","NESQUIK, CHOC MILK, FROM NO SUG ADD DRY MIX, NS AS TO MILK","Nesquik, chocolate milk, made from no sugar added dry mix, NS as to type of milk",
"11513391.0","NESQUIK, CHOC MILK, FROM NO SUG ADD DRY MIX W/ WHOLE MILK","Nesquik, chocolate milk, made from no sugar added dry mix with whole milk",
"11513392.0","NESQUIK, CHOC MILK, FROM NO SUG ADD DRY MIX W/ RED FAT MILK","Nesquik, chocolate milk, made from no sugar added dry mix with reduced fat milk (2%)",
"11513393.0","NESQUIK, CHOC MILK, FROM NO SUG ADD DRY MIX W/ LOW FAT MILK","Nesquik, chocolate milk, made from no sugar added dry mix with low fat milk (1%)",
"11513394.0","NESQUIK, CHOC MILK, FROM NO SUG ADD DRY MIX W/ FAT FREE MILK","Nesquik, chocolate milk, made from no sugar added dry mix with fat free milk (skim)",
"11513395.0","NESQUIK, CHOC MILK, NO SUGAR ADDED DRY MIX W/ NON-DAIRY MILK","Nesquik, chocolate milk, made from no sugar added dry mix with non-dairy milk",
"11513400.0","CHOCOLATE MILK, MADE FROM SYRUP, NS AS TO TYPE OF MILK","Chocolate milk, made from syrup, NS as to type of milk",
"11513500.0","CHOCOLATE MILK, MADE FROM SYRUP WITH WHOLE MILK","Chocolate milk, made from syrup with whole milk",
"11513550.0","CHOCOLATE MILK, MADE FROM SYRUP WITH REDUCED FAT MILK (2%)","Chocolate milk, made from syrup with reduced fat milk (2%)",
"11513600.0","CHOCOLATE MILK, MADE FROM SYRUP WITH LOW FAT MILK (1%)","Chocolate milk, made from syrup with low fat milk (1%)",
"11513700.0","CHOCOLATE MILK, MADE FROM SYRUP WITH FAT FREE MILK (SKIM)","Chocolate milk, made from syrup with fat free milk (skim)",
"11513750.0","CHOCOLATE MILK, MADE FROM SYRUP WITH NON-DAIRY MILK","Chocolate milk, made from syrup with non-dairy milk",
"11513800.0","CHOCOLATE MILK, MADE FROM LIGHT SYRUP, NS AS TO TYPE OF MILK","Chocolate milk, made from light syrup, NS as to type of milk",
"11513801.0","CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH WHOLE MILK","Chocolate milk, made from light syrup with whole milk",
"11513802.0","CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH REDUCED FAT MILK","Chocolate milk, made from light syrup with reduced fat milk (2%)",
"11513803.0","CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH LOW FAT MILK (1%)","Chocolate milk, made from light syrup with low fat milk (1%)",
"11513804.0","CHOC MILK, MADE FROM LIGHT SYRUP WITH FAT FREE MILK (SKIM)","Chocolate milk, made from light syrup with fat free milk (skim)",
"11513805.0","CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH NON-DAIRY MILK","Chocolate milk, made from light syrup with non-dairy milk",
"11513850.0","CHOC MILK, MADE FROM SUGAR FREE SYRUP, NS AS TO TYPE OF MILK","Chocolate milk, made from sugar free syrup, NS as to type of milk",
"11513851.0","CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH WHOLE MILK","Chocolate milk, made from sugar free syrup with whole milk",
"11513852.0","CHOC MILK, FROM SUGAR FREE SYRUP WITH REDUCED FAT MILK","Chocolate milk, made from sugar free syrup with reduced fat milk (2%)",
"11513853.0","CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH LOW FAT MILK","Chocolate milk, made from sugar free syrup with low fat milk (1%)",
"11513854.0","CHOC MILK, MADE FROM SUGAR FREE SYRUP WITH FAT FREE MILK","Chocolate milk, made from sugar free syrup with fat free milk (skim)",
"11513855.0","CHOC MILK, MADE FROM SUGAR FREE SYRUP WITH NON-DAIRY MILK","Chocolate milk, made from sugar free syrup with non-dairy milk",
"11514100.0","HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND WATER","Hot chocolate / Cocoa, made with dry mix and water",
"11514110.0","HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND WHOLE MILK","Hot chocolate / Cocoa, made with dry mix and whole milk",
"11514120.0","HOT CHOCO, MADE WITH DRY MIX AND REDUCED FAT MILK (2%)","Hot chocolate / Cocoa, made with dry mix and reduced fat milk (2%)",
"11514130.0","HOT CHOC, MADE WITH DRY MIX AND LOW FAT MILK (1%)","Hot chocolate / Cocoa, made with dry mix and low fat milk (1%)",
"11514140.0","HOT CHOC, MADE WITH DRY MIX AND FAT FREE MILK (SKIM)","Hot chocolate / Cocoa, made with dry mix and fat free milk (skim)",
"11514150.0","HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND NON-DAIRY MILK","Hot chocolate / Cocoa, made with dry mix and non-dairy milk",
"11514310.0","HOT CHOC MADE WITH NO SUGAR ADDED DRY MIX AND WATER","Hot chocolate / Cocoa, made with no sugar added dry mix and water",
"11514320.0","HOT CHOC, MADE W/ NO SUGAR ADDED DRY MIX AND WHOLE MILK","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",
"11514330.0","HOT CHOC, MADE W/ NO SUG ADDED DRY MIX & REDUC FAT MILK (2%)","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk (2%)",
"11514340.0","HOT CHOC, MADE W/ NO SUGAR ADDED DRY MIX & LOW FAT MILK (%)","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk (1%)",
"11514350.0","HOT CHOC, MADE W/ NO SUG ADDED DRY MIX & FAT FRE MILK (SKIM)","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk (skim)",
"11514360.0","HOT CHOC, MADE W/ NO SUGAR ADDED DRY MIX AND NON-DAIRY MILK","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",
"11519040.0","STRAWBERRY MILK, NFS","Strawberry milk, NFS",
"11519050.0","STRAWBERRY MILK, WHOLE","Strawberry milk, whole",
"11519105.0","STRAWBERRY MILK, REDUCED FAT (2%)","Strawberry milk, reduced fat (2%)",
"11519200.0","STRAWBERRY MILK, LOW FAT (1%)","Strawberry milk, low fat (1%)",
"11519205.0","STRAWBERRY MILK, FAT FREE (SKIM)","Strawberry milk, fat free (skim)",
"11519215.0","STRAWBERRY MILK, NON-DAIRY","Strawberry milk, non-dairy",
"11525000.0","MILK, MALTED, NATURAL FLAVOR, MADE WITH MILK","Milk, malted, natural flavor, made with milk",
"11526000.0","MILK, MALTED, CHOCOLATE, MADE WITH MILK","Milk, malted, chocolate, made with milk",
"11531000.0","EGGNOG, REGULAR","Eggnog, regular",
"11531500.0","EGGNOG, LOWFAT / LIGHT","Eggnog, lowfat / light",
"11541110.0","MILK SHAKE, HOME RECIPE, CHOCOLATE","Milk shake, home recipe, chocolate",
"11541120.0","MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE","Milk shake, home recipe, flavors other than chocolate",
"11541130.0","MILK SHAKE, HOME RECIPE, CHOCOLATE, LIGHT","Milk shake, home recipe, chocolate, light",
"11541135.0","MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE, LIGHT","Milk shake, home recipe, flavors other than chocolate, light",
"11541400.0","MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)","Milk shake with malt",
"11542100.0","MILK SHAKE, FAST FOOD, CHOCOLATE","Milk shake, fast food, chocolate",
"11542200.0","MILK SHAKE, FAST FOOD, FLAVORS OTHER THAN CHOCOLATE","Milk shake, fast food, flavors other than chocolate",
"11543000.0","MILK SHAKE, BOTTLED, CHOCOLATE","Milk shake, bottled, chocolate",
"11543010.0","MILK SHAKE, BOTTLED, FLAVORS OTHER THAN CHOCOLATE","Milk shake, bottled, flavors other than chocolate",
"11551050.0","LICUADO / BATIDO (MILK FRUIT DRINK)","Licuado / Batido (milk fruit drink)",
"11553100.0","FRUIT SMOOTHIE, NFS","Fruit smoothie, NFS",
"11553110.0","FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY","Fruit smoothie, with whole fruit and dairy",
"11553120.0","FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY, ADDED PROTEIN","Fruit smoothie, with whole fruit and dairy, added protein",
"11553130.0","FRUIT SMOOTHIE JUICE DRINK, WITH DAIRY","Fruit smoothie juice drink, with dairy",
"11560000.0","YOO-HOO, CHOCOLATE MILK DRINK","Yoo-hoo, chocolate milk drink",
"11710000.0","INFANT FORMULA, NFS","Infant formula, NFS",
"11710050.0","SIMILAC EXPERT CARE ALIMENTUM, INFANT FORMULA, NS AS TO FORM","Similac Expert Care Alimentum, infant formula, NS as to form",
"11710051.0","SIMILAC EXPERT CARE ALIMENTUM, INFANT FORMULA, READY-TO-FEED","Similac Expert Care Alimentum, infant formula, ready-to-feed",
"11710053.0","SIMILAC EXPERT CARE ALIMENTUM,INF FORM,PREP FR PDR,WATER NFS","Similac Expert Care Alimentum, infant formula, prepared from powder, made with water, NFS",
"11710054.0","SIMILAC EXPERT CARE ALIMENTUM,INF FORM,PREP FR PDR,TAP WATER","Similac Expert Care Alimentum, infant formula, prepared from powder, made with tap water",
"11710055.0","SIMILAC EXPERT CARE ALIMENTUM, INF FORM, FR PDR, BTL WATER","Similac Expert Care Alimentum, infant formula, prepared from powder, made with plain bottled water",
"11710056.0","SIMILAC EXPERT CARE ALIMENTUM,INF FORM,PREP FR PDR,BABY WATR","Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water",
"11710350.0","SIMILAC ADVANCE, INFANT FORMULA, NS AS TO FORM","Similac Advance, infant formula, NS as to form",
"11710351.0","SIMILAC ADVANCE, INFANT FORMULA, READY-TO-FEED","Similac Advance, infant formula, ready-to-feed",
"11710352.0","SIMILAC ADVANCE, INF FORMULA, PREP FRM LIQ CONC, W/WATER,NFS","Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS",
"11710353.0","SIMILAC ADVANCE, INFANT FORMULA, PREP FRM PDR, W/WATER NFS","Similac Advance, infant formula, prepared from powder, made with water, NFS",
"11710354.0","SIMILAC ADVANCE, INF FORMULA, PREP FRM LIQ CONC, W/TAP WATER","Similac Advance, infant formula, prepared from liquid concentrate, made with tap water",
"11710355.0","SIMILAC ADVANCE, INF FORMULA, PREP FRM LIQ CONC, W/BOT WATER","Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water",
"11710356.0","SIMILAC ADVANCE, INF FORMULA, PREP FR LIQ CONC, W/ BABY WATR","Similac Advance, infant formula, prepared from liquid concentrate, made with baby water",
"11710357.0","SIMILAC ADVANCE, INFANT FORMULA, PREP FRM PDR, W/TAP WATER","Similac Advance, infant formula, prepared from powder, made with tap water",
"11710358.0","SIMILAC ADVANCE, INFANT FORMULA, PREP FRM PDR, W/BOT WATER","Similac Advance, infant formula, prepared from powder, made with plain bottled water",
"11710359.0","SIMILAC ADVANCE, INFANT FORMULA, PREP FRM PDR, W/BABY WATER","Similac Advance, infant formula, prepared from powder, made with baby water",
"11710360.0","SIMILAC ADVANCE ORGANIC, INFANT FORMULA, NS AS TO FORM","Similac Advance Organic, infant formula, NS as to form",
"11710361.0","SIMILAC ADVANCE ORGANIC, INFANT FORMULA, READY-TO-FEED","Similac Advance Organic, infant formula, ready-to-feed",
"11710363.0","SIMILAC ADVANCE ORGANIC,INF FORM,PREP FR PDR,W/WATER,NFS","Similac Advance Organic, infant formula, prepared from powder, made with water, NFS",
"11710367.0","SIMILAC ADVANCE ORGANIC,INF FORM,PREP FR PDR,W/TAP WATER","Similac Advance Organic, infant formula, prepared from powder, made with tap water",
"11710368.0","SIMILAC ADVANCE ORGANIC,INF FORM,PREP FR PDR,W/BOT WATER","Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water",
"11710369.0","SIMILAC ADVANCE ORGANIC,INF FORM,PREP FR PDR,W/BABY WATER","Similac Advance Organic, infant formula, prepared from powder, made with baby water",
"11710370.0","SIMILAC SENSITIVE, INFANT FORMULA, NS AS TO FORM","Similac Sensitive, infant formula, NS as to form",
"11710371.0","SIMILAC SENSITIVE, INFANT FORMULA, READY-TO-FEED","Similac Sensitive, infant formula, ready-to-feed",
"11710372.0","SIMILAC SENSITIVE, INF FORM, PREP FRM LIQ CONC, W/WATER,NFS","Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS",
"11710373.0","SIMILAC SENSITIVE, INF FORM, PREP FRM PDR, W/ WATER,NFS","Similac Sensitive, infant formula, prepared from powder, made with water, NFS",
"11710374.0","SIMILAC SENSITIVE, INF FORM, PREP FRM LIQ CONC, W/TAP WATER","Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water",
"11710375.0","SIMILAC SENSITIVE, INF FORM, PREP FRM LIQ CONC, W/BOT WATER","Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water",
